順位,駅名,線名,乗車人員,,順位,駅名,線名,乗車人員,,順位,駅名,線名,乗車人員
1,博 多,鹿児島本線,"126,627",,51,長 者 原,篠 栗 線,"4,069",,101,喜 々 津,長 崎 本 線,"1,780"
2,小 倉,鹿児島本線,"35,636",,52,基 山,鹿児島本線,"3,875",,102,東 海学 園 前,豊 肥 本 線,"1,749"
3,鹿 児島 中央,鹿児島本線,"20,271",,53,原 田,鹿児島本線,"3,867",,103,上 伊 集 院,鹿児島本線,"1,737"
4,大 分,日 豊 本 線,"18,660",,54,千 鳥,鹿児島本線,"3,776",,104,松 橋,鹿児島本線,"1,724"
5,熊 本,鹿児島本線,"15,441",,55,海 老 津,鹿児島本線,"3,667",,105,高 城,日 豊 本 線,"1,719"
6,折 尾,鹿児島本線,"15,428",,56,佐 世 保,佐 世 保 線,"3,664",,106,武 雄 温 泉,佐 世 保 線,"1,700"
7,吉 塚,鹿児島本線,"15,206",,57,水 前 寺,豊 肥 本 線,"3,466",,107,早 岐,佐 世 保 線,"1,685"
8,黒 崎,鹿児島本線,"15,076",,58,直 方,筑 豊 本 線,"3,353",,108,宇 島,日 豊 本 線,"1,646"
9,千 早,鹿児島本線,"12,865",,59,国 分,日 豊 本 線,"2,998",,109,神 埼,長 崎 本 線,"1,645"
10,香 椎,鹿児島本線,"12,799",,60,中 津,日 豊 本 線,"2,960",,110,新 鳥 栖,長 崎 本 線,"1,642"
11,佐 賀,長 崎 本 線,"12,348",,61,羽 犬 塚,鹿児島本線,"2,955",,111,中 間,筑 豊 本 線,"1,641"
12,福 工 大 前,鹿児島本線,"11,552",,62,枝 光,鹿児島本線,"2,955",,112,隼 人,日 豊 本 線,"1,640"
13,南 福 岡,鹿児島本線,"10,389",,63,下 山 門,筑 肥 線,"2,897",,113,大 分大 学 前,豊 肥 本 線,"1,639"
14,長 崎,長 崎 本 線,"9,699",,64,上 熊 本,鹿児島本線,"2,830",,114,和 白,香 椎 線,"1,637"
15,九大学研都市,筑 肥 線,"9,660",,65,川 内,鹿児島本線,"2,828",,115,帖 佐,日 豊 本 線,"1,622"
16,戸 畑,鹿児島本線,"9,622",,66,谷 山,指宿枕崎線,"2,772",,116,し し ぶ,鹿児島本線,"1,617"
17,福 間,鹿児島本線,"9,148",,67,天 拝 山,鹿児島本線,"2,724",,117,鹿 児 島,鹿児島本線,"1,600"
18,竹 下,鹿児島本線,"8,693",,68,光 の 森,豊 肥 本 線,"2,706",,118,亀 川,日 豊 本 線,"1,571"
19,赤 間,鹿児島本線,"8,659",,69,肥 後 大 津,豊 肥 本 線,"2,663",,119,土 井,香 椎 線,"1,555"
20,大 野 城,鹿児島本線,"8,370",,70,大 牟 田,鹿児島本線,"2,661",,120,慈 眼 寺,指宿枕崎線,"1,527"
21,九 産 大 前,鹿児島本線,"7,861",,71,浦 上,長 崎 本 線,"2,590",,121,原 町,篠 栗 線,"1,519"
22,久 留 米,鹿児島本線,"7,856",,72,玉 名,鹿児島本線,"2,548",,122,糸 島高 校 前,筑 肥 線,"1,508"
23,二 日 市,鹿児島本線,"7,493",,73,遠 賀 川,鹿児島本線,"2,522",,123,小 森 江,鹿児島本線,"1,446"
24,鳥 栖,鹿児島本線,"7,132",,74,波 多 江,筑 肥 線,"2,522",,124,崇 城大 学 前,鹿児島本線,"1,418"
25,筑 前 前 原,筑 肥 線,"7,095",,75,東 福 間,鹿児島本線,"2,479",,125,須 恵 中 央,香 椎 線,"1,394"
26,古 賀,鹿児島本線,"6,808",,76,伊 集 院,鹿児島本線,"2,472",,126,荒 木,鹿児島本線,"1,384"
27,下 曽 根,日 豊 本 線,"6,752",,77,大 村,大 村 線,"2,356",,127,門 松,篠 栗 線,"1,383"
28,八 幡,鹿児島本線,"6,672",,78,安 部山 公園,日 豊 本 線,"2,354",,128,ハウステンボス,大 村 線,"1,382"
29,門 司,鹿児島本線,"6,263",,79,苅 田,日 豊 本 線,"2,345",,129,南 鹿 児 島,指宿枕崎線,"1,344"
30,姪 浜,筑 肥 線,"6,232",,80,教 育 大 前,鹿児島本線,"2,327",,130,日 向 市,日 豊 本 線,"1,330"
31,行 橋,日 豊 本 線,"6,172",,81,朽 網,日 豊 本 線,"2,276",,131,南 行 橋,日 豊 本 線,"1,317"
32,箱 崎,鹿児島本線,"6,141",,82,坂 之 上,指宿枕崎線,"2,263",,132,吉野ヶ里公園,長 崎 本 線,"1,298"
33,別 府,日 豊 本 線,"5,977",,83,唐 津,唐 津 線,"2,260",,133,け や き 台,鹿児島本線,"1,285"
34,笹 原,鹿児島本線,"5,531",,84,武 蔵 塚,豊 肥 本 線,"2,254",,134,二 島,若 松 線,"1,281"
35,今 宿,筑 肥 線,"5,437",,85,スペースワールド,鹿児島本線,"2,247",,135,久留米大学前,久 大 本 線,"1,261"
36,西 小 倉,鹿児島本線,"5,269",,86,陣 原,鹿児島本線,"2,233",,136,宇 宿,指宿枕崎線,"1,259"
37,東 郷,鹿児島本線,"5,204",,87,大 在,日 豊 本 線,"2,200",,137,西 熊 本,鹿児島本線,"1,251"
38,門 司 港,鹿児島本線,"5,173",,88,水 城,鹿児島本線,"2,095",,138,弥 生 が 丘,鹿児島本線,"1,224"
39,諫 早,長 崎 本 線,"5,134",,89,新 八 代,鹿児島本線,"2,070",,139,坂 ノ 市,日 豊 本 線,"1,220"
40,新 宮 中 央,鹿児島本線,"5,101",,90,水 巻,鹿児島本線,"2,068",,140,平 成,豊 肥 本 線,"1,199"
41,周 船 寺,筑 肥 線,"5,090",,91,八 代,鹿児島本線,"1,976",,141,竹 松,大 村 線,"1,183"
42,南 小 倉,日 豊 本 線,"5,020",,92,別 府 大 学,日 豊 本 線,"1,933",,142,延 岡,日 豊 本 線,"1,177"
43,篠 栗,篠 栗 線,"4,974",,93,宇 土,鹿児島本線,"1,929",,143,都 府 楼 南,鹿児島本線,"1,168"
44,宮 崎,日 豊 本 線,"4,958",,94,鶴 崎,日 豊 本 線,"1,922",,144,小 川,鹿児島本線,"1,163"
45,新 水 前 寺,豊 肥 本 線,"4,702",,95,長 与,長 崎 本 線,"1,917",,145,肥 前 山 口,長 崎 本 線,"1,163"
46,春 日,鹿児島本線,"4,701",,96,宇 美,香 椎 線,"1,902",,146,肥 前 鹿 島,長 崎 本 線,"1,163"
47,九 州工 大前,鹿児島本線,"4,498",,97,小波瀬西工大前,日 豊 本 線,"1,893",,147,筑 後船 小 屋,鹿児島本線,"1,154"
48,城 野,日 豊 本 線,"4,497",,98,南 宮 崎,日 豊 本 線,"1,871",,148,若 松,若 松 線,"1,146"
49,新 飯 塚,筑 豊 本 線,"4,494",,99,桂 川,筑 豊 本 線,"1,861",,149,道 ノ 尾,長 崎 本 線,"1,132"
50,柚 須,篠 栗 線,"4,222",,100,加 治 木,日 豊 本 線,"1,800",,150,佐 土 原,日 豊 本 線,"1,130"
順位,駅名,線名,乗車人員,,順位,駅名,線名,乗車人員,,順位,駅名,線名,乗車人員
151,飯 塚,筑 豊 本 線,"1,126",,201,竜 田 口,豊 肥 本 線,732,,251,西 大 分,日 豊 本 線,480
152,出 水,九州新幹線,"1,125",,202,牧,日 豊 本 線,728,,252,一 貴 山,筑 肥 線,460
153,本 城,若 松 線,"1,121",,203,佐 伯,日 豊 本 線,728,,253,薩 摩今 和 泉,指宿枕崎線,446
154,奈 多,香 椎 線,"1,114",,204,長 洲,鹿児島本線,720,,254,大 神,日 豊 本 線,431
155,西 諫 早,長 崎 本 線,"1,105",,205,現 川,長 崎 本 線,719,,255,宇 佐,日 豊 本 線,427
156,郡 元,指宿枕崎線,"1,103",,206,肥 前 白 石,長 崎 本 線,699,,256,南 久 留 米,久 大 本 線,426
157,都 城,日 豊 本 線,"1,087",,207,植 木,鹿児島本線,698,,257,福 吉,筑 肥 線,426
