順位,駅名,線名,乗車人員
1,博多,鹿児島本線,"126,627"
2,小倉,鹿児島本線,"35,636"
3,鹿児島中央,鹿児島本線,"20,271"
4,大分,日豊本線,"18,660"
5,熊本,鹿児島本線,"15,441"
6,折尾,鹿児島本線,"15,428"
7,吉塚,鹿児島本線,"15,206"
8,黒崎,鹿児島本線,"15,076"
9,千早,鹿児島本線,"12,865"
10,香椎,鹿児島本線,"12,799"
11,佐賀,長崎本線,"12,348"
12,福工大前,鹿児島本線,"11,552"
13,南福岡,鹿児島本線,"10,389"
14,長崎,長崎本線,"9,699"
15,九大学研都市,筑肥線,"9,660"
16,戸畑,鹿児島本線,"9,622"
17,福間,鹿児島本線,"9,148"
18,竹下,鹿児島本線,"8,693"
19,赤間,鹿児島本線,"8,659"
20,大野城,鹿児島本線,"8,370"
21,九産大前,鹿児島本線,"7,861"
22,久留米,鹿児島本線,"7,856"
23,二日市,鹿児島本線,"7,493"
24,鳥栖,鹿児島本線,"7,132"
25,筑前前原,筑肥線,"7,095"
26,古賀,鹿児島本線,"6,808"
27,下曽根,日豊本線,"6,752"
28,八幡,鹿児島本線,"6,672"
29,門司,鹿児島本線,"6,263"
30,姪浜,筑肥線,"6,232"
31,行橋,日豊本線,"6,172"
32,箱崎,鹿児島本線,"6,141"
33,別府,日豊本線,"5,977"
34,笹原,鹿児島本線,"5,531"
35,今宿,筑肥線,"5,437"
36,西小倉,鹿児島本線,"5,269"
37,東郷,鹿児島本線,"5,204"
38,門司港,鹿児島本線,"5,173"
39,諫早,長崎本線,"5,134"
40,新宮中央,鹿児島本線,"5,101"
41,周船寺,筑肥線,"5,090"
42,南小倉,日豊本線,"5,020"
43,篠栗,篠栗線,"4,974"
44,宮崎,日豊本線,"4,958"
45,新水前寺,豊肥本線,"4,702"
46,春日,鹿児島本線,"4,701"
47,九州工大前,鹿児島本線,"4,498"
48,城野,日豊本線,"4,497"
49,新飯塚,筑豊本線,"4,494"
